Date,Open,High,Low,Close,Volume,OpenInt
1977-08-15,0.48231,0.49743,0.47855,0.49743,8460336,0
1977-08-16,0.49743,0.49743,0.48622,0.49373,3996088,0
1977-08-17,0.49373,0.5091,0.48995,0.5015,9981857,0
1977-08-18,0.5015,0.5091,0.47456,0.47456,22003560,0
1977-08-19,0.47456,0.48231,0.47456,0.47855,11988262,0
1977-08-22,0.48231,0.48622,0.48231,0.48622,4932413,0
1977-08-23,0.48622,0.48622,0.47855,0.47855,5651367,0
1977-08-24,0.47855,0.47855,0.46699,0.47081,6955535,0
1977-08-25,0.47081,0.47081,0.46319,0.46319,3628251,0
1977-08-26,0.46319,0.46699,0.46319,0.46699,4029532,0
1977-08-29,0.46699,0.47456,0.46699,0.47456,4096412,0
1977-08-30,0.47456,0.47456,0.46699,0.46699,5651367,0
1977-08-31,0.46699,0.47456,0.46699,0.47456,2691929,0
1977-09-01,0.47456,0.47855,0.47456,0.47456,5985775,0
1977-09-02,0.47456,0.47456,0.47456,0.47456,2407689,0
1977-09-06,0.47456,0.47855,0.47081,0.47456,2006406,0
1977-09-07,0.47456,0.47855,0.47456,0.47855,3494492,0
1977-09-08,0.47855,0.47855,0.47081,0.47081,1822483,0
1977-09-09,0.47081,0.47081,0.46699,0.46699,3912487,0
1977-09-12,0.46699,0.47081,0.46699,0.47081,4079683,0
1977-09-13,0.47081,0.47081,0.46699,0.46699,1354323,0
1977-09-14,0.46699,0.47081,0.46699,0.47081,1705452,0
1977-09-15,0.47081,0.47855,0.46699,0.47855,3126646,0
1977-09-16,0.47855,0.47855,0.47456,0.47456,2273929,0
1977-09-19,0.47456,0.47456,0.46699,0.46699,3394167,0
1977-09-20,0.46699,0.47081,0.46319,0.46699,4213447,0
1977-09-21,0.46699,0.46699,0.4593,0.4593,2056561,0
1977-09-22,0.4593,0.46319,0.45549,0.4593,2775520,0
1977-09-23,0.4593,0.46319,0.4593,0.4593,2090006,0
1977-09-26,0.4593,0.47081,0.4593,0.46699,7005695,0
1977-09-27,0.46699,0.46699,0.46319,0.46319,3996088,0
1977-09-28,0.46319,0.47081,0.46319,0.46699,3996088,0
1977-09-29,0.46699,0.46699,0.46319,0.46699,5617931,0
1977-09-30,0.46699,0.46699,0.46319,0.46699,3477766,0
1977-10-03,0.46319,0.46319,0.4593,0.4593,2140168,0
1977-10-04,0.4593,0.46319,0.4593,0.4593,4129845,0
